Fielding start,Fielding end,State,Politician,Demographic,Sample size,Margin of error,Approve,Disapprove,Net Approval
1/21/21,4/20/21,Alabama,Joe Biden,Registered Voters,5485,0.01,0.4,0.52,-0.12
1/21/21,4/20/21,Alaska,Joe Biden,Registered Voters,568,0.04,0.45,0.45,0.01
1/21/21,4/20/21,Arizona,Joe Biden,Registered Voters,7828,0.01,0.51,0.43,0.08
1/21/21,4/20/21,Arkansas,Joe Biden,Registered Voters,3113,0.02,0.4,0.53,-0.13
1/21/21,4/20/21,California,Joe Biden,Registered Voters,28091,0.01,0.64,0.3,0.34
1/21/21,4/20/21,Colorado,Joe Biden,Registered Voters,5599,0.01,0.57,0.38,0.2
1/21/21,4/20/21,Connecticut,Joe Biden,Registered Voters,5137,0.01,0.59,0.34,0.25
1/21/21,4/20/21,Delaware,Joe Biden,Registered Voters,1694,0.02,0.62,0.33,0.29
1/21/21,4/20/21,Florida,Joe Biden,Registered Voters,30032,0.01,0.51,0.43,0.08
1/21/21,4/20/21,Georgia,Joe Biden,Registered Voters,12397,0.01,0.53,0.41,0.11
1/21/21,4/20/21,Hawaii,Joe Biden,Registered Voters,1309,0.03,0.62,0.26,0.36
1/21/21,4/20/21,Idaho,Joe Biden,Registered Voters,1568,0.02,0.39,0.56,-0.17
1/21/21,4/20/21,Illinois,Joe Biden,Registered Voters,15049,0.01,0.58,0.36,0.22
1/21/21,4/20/21,Indiana,Joe Biden,Registered Voters,7885,0.01,0.43,0.5,-0.07
1/21/21,4/20/21,Iowa,Joe Biden,Registered Voters,3579,0.02,0.47,0.47,0
1/21/21,4/20/21,Kansas,Joe Biden,Registered Voters,2938,0.02,0.45,0.49,-0.04
1/21/21,4/20/21,Kentucky,Joe Biden,Registered Voters,6165,0.01,0.4,0.53,-0.13
1/21/21,4/20/21,Louisiana,Joe Biden,Registered Voters,3976,0.02,0.47,0.47,0
1/21/21,4/20/21,Maine,Joe Biden,Registered Voters,2042,0.02,0.53,0.42,0.11
1/21/21,4/20/21,Maryland,Joe Biden,Registered Voters,6697,0.01,0.66,0.28,0.38
1/21/21,4/20/21,Massachusetts,Joe Biden,Registered Voters,8298,0.01,0.64,0.29,0.35
1/21/21,4/20/21,Michigan,Joe Biden,Registered Voters,13148,0.01,0.52,0.42,0.11
1/21/21,4/20/21,Minnesota,Joe Biden,Registered Voters,6394,0.01,0.54,0.41,0.13
1/21/21,4/20/21,Mississippi,Joe Biden,Registered Voters,2494,0.02,0.45,0.47,-0.01
1/21/21,4/20/21,Missouri,Joe Biden,Registered Voters,7689,0.01,0.45,0.48,-0.03
1/21/21,4/20/21,Montana,Joe Biden,Registered Voters,1008,0.03,0.42,0.52,-0.1
1/21/21,4/20/21,Nebraska,Joe Biden,Registered Voters,2196,0.02,0.41,0.54,-0.12
1/21/21,4/20/21,Nevada,Joe Biden,Registered Voters,3786,0.02,0.52,0.42,0.09
1/21/21,4/20/21,New Hampshire,Joe Biden,Registered Voters,2052,0.02,0.51,0.44,0.07
1/21/21,4/20/21,New Jersey,Joe Biden,Registered Voters,12087,0.01,0.59,0.35,0.24
1/21/21,4/20/21,New Mexico,Joe Biden,Registered Voters,1609,0.02,0.58,0.37,0.21
1/21/21,4/20/21,New York,Joe Biden,Registered Voters,28112,0.01,0.62,0.32,0.3
1/21/21,4/20/21,North Carolina,Joe Biden,Registered Voters,13040,0.01,0.5,0.43,0.07
1/21/21,4/20/21,North Dakota,Joe Biden,Registered Voters,763,0.04,0.39,0.54,-0.15
1/21/21,4/20/21,Ohio,Joe Biden,Registered Voters,16677,0.01,0.48,0.46,0.02
1/21/21,4/20/21,Oklahoma,Joe Biden,Registered Voters,3982,0.02,0.36,0.56,-0.2
1/21/21,4/20/21,Oregon,Joe Biden,Registered Voters,4414,0.01,0.57,0.37,0.2
1/21/21,4/20/21,Pennsylvania,Joe Biden,Registered Voters,18927,0.01,0.52,0.43,0.09
1/21/21,4/20/21,Rhode Island,Joe Biden,Registered Voters,1459,0.03,0.59,0.36,0.22
1/21/21,4/20/21,South Carolina,Joe Biden,Registered Voters,6680,0.01,0.46,0.48,-0.02
1/21/21,4/20/21,South Dakota,Joe Biden,Registered Voters,1018,0.03,0.38,0.58,-0.19
1/21/21,4/20/21,Tennessee,Joe Biden,Registered Voters,8133,0.01,0.42,0.51,-0.09
1/21/21,4/20/21,Texas,Joe Biden,Registered Voters,22488,0.01,0.49,0.44,0.05
1/21/21,4/20/21,Utah,Joe Biden,Registered Voters,2212,0.02,0.45,0.48,-0.04
1/21/21,4/20/21,Vermont,Joe Biden,Registered Voters,765,0.04,0.64,0.26,0.38
1/21/21,4/20/21,Virginia,Joe Biden,Registered Voters,9954,0.01,0.56,0.39,0.17
1/21/21,4/20/21,Washington,Joe Biden,Registered Voters,7065,0.01,0.59,0.35,0.23
1/21/21,4/20/21,West Virginia,Joe Biden,Registered Voters,2470,0.02,0.32,0.6,-0.28
1/21/21,4/20/21,Wisconsin,Joe Biden,Registered Voters,8229,0.01,0.51,0.44,0.07
1/21/21,4/20/21,Wyoming,Joe Biden,Registered Voters,584,0.04,0.29,0.67,-0.38
4/21/21,7/20/21,Alabama,Joe Biden,Registered Voters,6890,0.01,0.4,0.55,-0.15
4/21/21,7/20/21,Alaska,Joe Biden,Registered Voters,554,0.04,0.44,0.5,-0.06
4/21/21,7/20/21,Arizona,Joe Biden,Registered Voters,9910,0.01,0.5,0.47,0.02
4/21/21,7/20/21,Arkansas,Joe Biden,Registered Voters,3780,0.02,0.37,0.57,-0.2
4/21/21,7/20/21,California,Joe Biden,Registered Voters,31327,0.01,0.64,0.32,0.32
4/21/21,7/20/21,Colorado,Joe Biden,Registered Voters,6430,0.01,0.56,0.4,0.17
4/21/21,7/20/21,Connecticut,Joe Biden,Registered Voters,5466,0.01,0.58,0.38,0.2
4/21/21,7/20/21,Delaware,Joe Biden,Registered Voters,1956,0.02,0.6,0.36,0.23
4/21/21,7/20/21,Florida,Joe Biden,Registered Voters,37132,0.01,0.5,0.45,0.05
4/21/21,7/20/21,Georgia,Joe Biden,Registered Voters,13954,0.01,0.51,0.45,0.06
4/21/21,7/20/21,Hawaii,Joe Biden,Registered Voters,1744,0.02,0.58,0.36,0.23
4/21/21,7/20/21,Idaho,Joe Biden,Registered Voters,1720,0.02,0.39,0.57,-0.19
4/21/21,7/20/21,Illinois,Joe Biden,Registered Voters,16794,0.01,0.57,0.38,0.19
4/21/21,7/20/21,Indiana,Joe Biden,Registered Voters,9238,0.01,0.43,0.52,-0.09
4/21/21,7/20/21,Iowa,Joe Biden,Registered Voters,3742,0.02,0.46,0.5,-0.03
4/21/21,7/20/21,Kansas,Joe Biden,Registered Voters,3331,0.02,0.43,0.54,-0.11
4/21/21,7/20/21,Kentucky,Joe Biden,Registered Voters,7451,0.01,0.41,0.55,-0.14
4/21/21,7/20/21,Louisiana,Joe Biden,Registered Voters,4940,0.01,0.46,0.5,-0.04
4/21/21,7/20/21,Maine,Joe Biden,Registered Voters,2318,0.02,0.54,0.43,0.11
4/21/21,7/20/21,Maryland,Joe Biden,Registered Voters,7387,0.01,0.64,0.31,0.33
4/21/21,7/20/21,Massachusetts,Joe Biden,Registered Voters,8931,0.01,0.63,0.33,0.3
4/21/21,7/20/21,Michigan,Joe Biden,Registered Voters,14286,0.01,0.52,0.44,0.08
4/21/21,7/20/21,Minnesota,Joe Biden,Registered Voters,7140,0.01,0.52,0.44,0.09
4/21/21,7/20/21,Mississippi,Joe Biden,Registered Voters,3086,0.02,0.43,0.51,-0.09
4/21/21,7/20/21,Missouri,Joe Biden,Registered Voters,8792,0.01,0.44,0.51,-0.07
4/21/21,7/20/21,Montana,Joe Biden,Registered Voters,1152,0.03,0.4,0.55,-0.15
4/21/21,7/20/21,Nebraska,Joe Biden,Registered Voters,2595,0.02,0.39,0.58,-0.19
4/21/21,7/20/21,Nevada,Joe Biden,Registered Voters,4675,0.01,0.52,0.45,0.07
4/21/21,7/20/21,New Hampshire,Joe Biden,Registered Voters,2221,0.02,0.51,0.46,0.05
4/21/21,7/20/21,New Jersey,Joe Biden,Registered Voters,12653,0.01,0.59,0.38,0.21
4/21/21,7/20/21,New Mexico,Joe Biden,Registered Voters,1828,0.02,0.58,0.38,0.19
4/21/21,7/20/21,New York,Joe Biden,Registered Voters,30171,0.01,0.62,0.34,0.28
4/21/21,7/20/21,North Carolina,Joe Biden,Registered Voters,14881,0.01,0.49,0.46,0.03
4/21/21,7/20/21,North Dakota,Joe Biden,Registered Voters,848,0.03,0.34,0.62,-0.27
4/21/21,7/20/21,Ohio,Joe Biden,Registered Voters,18805,0.01,0.47,0.49,-0.02
4/21/21,7/20/21,Oklahoma,Joe Biden,Registered Voters,4949,0.01,0.35,0.59,-0.24
4/21/21,7/20/21,Oregon,Joe Biden,Registered Voters,5081,0.01,0.55,0.4,0.16
4/21/21,7/20/21,Pennsylvania,Joe Biden,Registered Voters,20985,0.01,0.51,0.46,0.05
